eye_shoulder_y_ratio,shoulder_y_diff,wrist_distance_x,wrist_shoulder_ratio,nose_eye_center_offset_x,shoulder_span,hip_shoulder_y_diff,body_lean_x,shoulder_center_x,hip_center_x,spine_angle,eye_distance,head_tilt_angle,eye_distance_ratio,shoulder_slope,head_direction,arm_position,posture,confidence_label
-0.5445633679628372,0.0060848593711853,0.6411471515893936,1.2391164447895515,0.0133849531412124,0.5174486195521656,1.0378492176532743,-0.0078853517770767,0.5482324659824371,0.5561178177595139,89.56468755201564,0.1713373185703076,-8.89775487293682,0.3311194814252173,0.0060848593711853,Looking Straight,Partially Open,Upright,Confident
-0.5454370826482773,0.0130282640457153,0.6395036727190018,1.2379972645288535,0.011830985546112,0.5167173444431599,1.0402019619941711,-0.0068105310201644,0.548541471362114,0.5553520023822784,89.62487178233076,0.171153986662928,-9.279946518847227,0.3312332912830167,0.0130282640457153,Looking Straight,Partially Open,Upright,Confident
-0.5409702807664871,0.0128509402275085,0.6410714387893677,1.24676003914391,0.0099607110023498,0.5143404824134129,1.0385136306285858,-0.0078906863927841,0.54945208132267,0.5573427677154541,89.56467174363998,0.1656860403643205,-10.195834640284245,0.3221329956119351,0.0128509402275085,Looking Straight,Partially Open,Upright,Confident
-0.5410747528076172,0.0126876235008239,0.6421068161725998,1.2530161541169278,0.0094476491212844,0.5125959971193063,1.0370247066020966,-0.0084369033575057,0.5501057207584381,0.5585426241159439,89.53387003548934,0.1660516797381901,-10.328024418344375,0.3239425993791788,0.0126876235008239,Looking Straight,Partially Open,Upright,Confident
-0.5412002354860306,0.0178274512290954,0.6405348628759384,1.2547842492478598,0.0087454319000244,0.5107753101691743,1.0382523238658905,-0.0055684149265289,0.5490539520978928,0.5546223670244217,89.69271090705945,0.1618750289668337,-12.559003004756338,0.3169202303713916,0.0178274512290954,Looking Straight,Partially Open,Upright,Confident
-0.5387222617864609,0.015476107597351,0.6196996718645096,1.2314627580353537,0.0057157427072525,0.5034503468017617,1.0280123353004456,-0.0057514309883117,0.5450043827295303,0.5507558137178421,89.67945006851619,0.1611683487334016,-16.061999659995607,0.3201275950195405,0.015476107597351,Looking Straight,Partially Open,Upright,Confident
-0.5409600734710693,0.0144955515861511,0.6081665456295013,1.2182090273699515,0.0056513547897338,0.4994304483797958,1.0218141973018646,-0.0060441046953201,0.5428033322095871,0.5488474369049072,89.6610952831092,0.1576251200186552,-15.577723953692503,0.3156097521286647,0.0144955515861511,Looking Straight,Partially Open,Upright,Confident
-0.5381780713796616,0.0127139687538146,0.6017749905586243,1.2113893212079256,0.005544289946556,0.4969169929935514,1.0211478769779203,-0.0085916370153427,0.5375364273786545,0.5461280643939972,89.51794158730026,0.1578316066384777,-17.693539895319205,0.3176216729632468,0.0127139687538146,Looking Straight,Partially Open,Upright,Confident
-0.5349408090114594,0.0083025097846984,0.5994606018066406,1.225329646665947,0.0038823932409286,0.4892843898648226,1.0206988751888275,-0.0114893019199371,0.5327233672142029,0.54421266913414,89.35508823907355,0.1541344906057218,-18.150240860995428,0.3150202495695917,0.0083025097846984,Looking Straight,Partially Open,Upright,Confident
-0.534569650888443,0.0068404674530029,0.5955839157104492,1.223750635551752,0.0037563741207122,0.4867253893526049,1.0191220045089722,-0.0107180625200271,0.5295420140028,0.5402600765228271,89.39744495298706,0.1518554997163905,-17.312703733104822,0.3119942025592174,0.0068404674530029,Looking Straight,Partially Open,Upright,Confident
